code,pillar,pillar_label,indicator_name,direction,raw_value,min_value,max_value,unit,normalization_basis,normalized_value_reported,year,source_group,source_table_or_figure,source_note,uncertainty_class,public_redistributable,limitations_note
P1.1,P1,Natural Hazard & Physical Vulnerability,Seismic Hazard Zone Level,NEG,2,1,2,class (1-4),raw_corridor_minmax,0.0,2023,Group 1,AFAD seismic zonation,Fethiye-Burdur fault zone; corridor max=Kaş/Demre,observed,no,Corridor max=2 collapses range; Kaş at ceiling -> score 0.00
P1.2,P1,Natural Hazard & Physical Vulnerability,Wildfire Frequency Index,NEG,8,2,12,events/decade,raw_corridor_minmax,0.4,2024,Group 1,Forest-fire analysis (~2015-2024),Includes 2021 fires,observed,no,
P1.3,P1,Natural Hazard & Physical Vulnerability,Flood Frequency,NEG,6,2,11,events,raw_corridor_minmax,0.56,2020,Group 1,Fig 1.7.3 / AFAD 1974-2020,Corridor max=11 (Finike),observed,no,
P1.4,P1,Natural Hazard & Physical Vulnerability,Landslide Susceptibility Class,NEG,3,1,4,class (1-5),raw_corridor_minmax,0.33,2023,Group 1,Slope & soil maps,,observed,no,
P1.5,P1,Natural Hazard & Physical Vulnerability,Erosion Risk Class,NEG,3,1,4,class (1-5),raw_corridor_minmax,0.33,2023,Group 1,Soil-loss analysis,,observed,no,
P1.6,P1,Natural Hazard & Physical Vulnerability,Coastal Erosion / Sea-Level Exposure,NEG,3,1,4,class (1-4),raw_corridor_minmax,0.33,2023,Group 1,IPCC coastline projections,,modelled,no,IPCC projection-based exposure class
P1.7,P1,Natural Hazard & Physical Vulnerability,Climate Vulnerability (RCP8.5),NEG,2.1,1.8,2.5,deg C,raw_corridor_minmax,0.57,2023,Group 1,Climate-change scenarios,RCP8.5 warming,modelled,no,Scenario-dependent
P2.1,P2,Socio-Demographic Adaptive Capacity,Permanent Population Density,POS,29.2,15.8,127.5,persons/km2,seasonally_adjusted_dasymetric_effective_density,0.12,2023,Group 3,Graph 3.2.97 / TUIK 2023,Modelled effective-density ceiling 127.5; raw permanent max (Kemer)=106.1; raw-bound alt score=0.148,modelled,no,"Normalization max 127.5 is seasonally-adjusted/dasymetric, NOT raw permanent-density max (106.1). Disclosed."
P2.2,P2,Socio-Demographic Adaptive Capacity,Net Migration Rate,POS,18.5,-5.2,25.0,per-mille,raw_corridor_minmax,0.78,2023,Group 3,TUIK estimates,,estimated,no,
P2.3,P2,Socio-Demographic Adaptive Capacity,Age Dependency Ratio,NEG,0.48,0.38,0.55,ratio,raw_corridor_minmax,0.41,2023,Group 3,p.139 projections,,observed,no,
P2.4,P2,Socio-Demographic Adaptive Capacity,Higher-Education Rate,POS,18.2,12.4,22.8,percent,raw_corridor_minmax,0.56,2023,Group 3,Education statistics,,observed,no,
P2.5,P2,Socio-Demographic Adaptive Capacity,Seasonal Population Ratio,NEG,3.8,1.5,6.2,summer/winter ratio,raw_corridor_minmax,0.51,2023,Group 3,Population dynamics,,estimated,no,
P2.6,P2,Socio-Demographic Adaptive Capacity,Mean Household Size,POS,2.9,2.4,3.4,persons,raw_corridor_minmax,0.5,2023,Group 3,TUIK 2023,,observed,no,
P2.7,P2,Socio-Demographic Adaptive Capacity,Neighbourhoods / Admin Capacity,POS,54,12,54,count,raw_corridor_minmax,1.0,2023,Group 3,Table 3,Corridor max=Kaş; score at ceiling,observed,no,Corridor max=Kaş -> score 1.00
P3.1,P3,Economic Resilience,Estimated GDP per Capita,POS,232719,183614,296509,TL,raw_corridor_minmax,0.44,2022,Group 4,"Regression model, Table 2","Regression inference, not direct observation",estimated,no,Regression-estimated
P3.2,P3,Economic Resilience,Gini Coefficient,NEG,0.39,0.365,0.415,index 0-1,raw_corridor_minmax,0.5,2022,Group 4,Table 4,Inequality measure,estimated,no,Regression-estimated
P3.3,P3,Economic Resilience,SEGE Socio-Economic Score,POS,0.315,0.203,1.392,index,raw_corridor_minmax,0.094,2022,Group 4,Table 11,National rank 276/973,observed,no,
P3.4,P3,Economic Resilience,Employment Rate,POS,56.8,37.5,67.2,percent,raw_corridor_minmax,0.65,2023,Group 4 / CP301,Employment statistics,,observed,no,
P3.5,P3,Economic Resilience,Economic Diversification (1-HHI),POS,0.59,0.51,0.59,index,raw_corridor_minmax,1.0,2023,Group 4 / CP301,Sector split (HHI=0.411),Corridor max=Kaš -> score 1.00,estimated,no,Corridor max=Kaš -> ceiling
